Vehicle_Type,FastagID,TollBoothID,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Geographical_Location,Vehicle_Speed,Fraud_indicator,Hour,Day_of_Week,Month,Amount_Ratio,Speed_Amount_Ratio,Speed_X_Amount
Bus ,FTG-001-ABC-121,A-101,Express,Large,350,120,"13.059816123454882, 77.77068662374292",65,Fraud,11,4,1,2.9166666666666665,0.18571428571428572,22750
Car,FTG-002-XYZ-451,B-102,Regular,Small,120,100,"13.059816123454882, 77.77068662374292",78,Fraud,14,5,1,1.2,0.65,9360
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",53,Not Fraud,18,6,1,inf,inf,0
Truck,FTG-044-LMN-322,C-103,Regular,Large,350,120,"13.059816123454882, 77.77068662374292",92,Fraud,2,0,1,2.9166666666666665,0.26285714285714284,32200
Van,FTG-505-DEF-652,B-102,Express,Medium,140,100,"13.059816123454882, 77.77068662374292",60,Fraud,6,1,1,1.4,0.42857142857142855,8400
Sedan,FTG-066-GHI-987,A-101,Regular,Medium,160,100,"13.059816123454882, 77.77068662374292",105,Fraud,10,2,1,1.6,0.65625,16800
SUV,FTG-707-JKL-210,B-102,Express,Large,180,160,"13.059816123454882, 77.77068662374292",70,Fraud,15,3,1,1.125,0.3888888888888889,12600
Bus ,FTG-088-UVW-543,C-103,Regular,Large,350,90,"13.059816123454882, 77.77068662374292",88,Fraud,20,4,1,3.888888888888889,0.25142857142857145,30800
Car,FTG-909-RST-876,A-101,Express,Small,120,0,"13.059816123454882, 77.77068662374292",45,Fraud,1,5,1,inf,0.375,5400
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",72,Not Fraud,7,6,1,inf,inf,0
Truck,FTG-021-QWE-765,C-103,Express,Large,350,120,"13.059816123454882, 77.77068662374292",58,Fraud,12,0,1,2.9166666666666665,0.1657142857142857,20300
Van,FTG-011-ZXC-431,B-102,Regular,Medium,140,120,"13.059816123454882, 77.77068662374292",81,Fraud,17,1,1,1.1666666666666667,0.5785714285714286,11340
Sedan,FTG-013-POI-104,A-101,Express,Medium,160,120,"13.059816123454882, 77.77068662374292",67,Fraud,22,2,1,1.3333333333333333,0.41875,10720
SUV,FTG-014-KJH-872,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",98,Not Fraud,4,3,1,1.0,0.5444444444444444,17640
Bus ,FTG-055-DCV-543,A-101,Express,Large,350,120,"13.059816123454882, 77.77068662374292",50,Fraud,8,4,1,2.9166666666666665,0.14285714285714285,17500
Car,FTG-066-NBH-210,B-102,Regular,Small,120,90,"13.059816123454882, 77.77068662374292",75,Fraud,13,5,1,1.3333333333333333,0.625,9000
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",62,Not Fraud,16,6,1,inf,inf,0
Truck,FTG-088-EYT-654,C-103,Regular,Large,350,120,"13.059816123454882, 77.77068662374292",84,Fraud,22,0,1,2.9166666666666665,0.24,29400
